samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,geo_factor,string_score,string_mode,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence,samian_q_start,samian_q_end,samian_unc_interval_years
109,Hadrian Wall General,,55.012296,-2.33773,139,170,0.392,19,22,832240145,https://pleiades.stoa.org/places/832240145,Housesteads Mithraeum,,55.010302,-2.329043,-30.0,300.0,precise,5.0,0.5966208099052606,0.5916208099052606,0.9708521961102422,0.33979826863858476,0.15,label-label,0.392,0.25,0.65,0.1,0.08494956715964619,0.0975,0.039200000000000006,0.2216495671596462,0.3832606950162013,0.43988355695625725,0.1768557480275414,1,low,,,
11,Bad Nauheim,,50.36463,8.73859,72,97,0.52,12,12,118588,https://pleiades.stoa.org/places/118588,Bad Nauheim,,50.360605,8.735747,-30.0,300.0,precise,10.0,0.49089651551901403,0.480896515519014,0.9762419479742551,0.9762419479742551,1.0,label-label,0.52,0.25,0.65,0.1,0.24406048699356378,0.65,0.052000000000000005,0.9460604869935638,0.25797556324242105,0.687059663664425,0.054964773093154,1,high,,,
110,Haltern,,51.75,7.17,-10,14,0.496,5,16,109029,https://pleiades.stoa.org/places/109029,Haltern,Haltern am See,51.74008305466715,7.169241349973799,-30.0,300.0,precise,20.0,1.1039518371180845,1.0839518371180845,0.9472449201273919,0.9472449201273919,1.0,label-label,0.496,0.25,0.65,0.1,0.23681123003184798,0.65,0.049600000000000005,0.936411230031848,0.25289234306149216,0.6941394754288595,0.052968181509648354,1,high,,,
111,Haltonchesters,,55.010543,-2.004059,154,188,0.593,12,14,89201,https://pleiades.stoa.org/places/89201,Onnum,Halton Chesters|Hunno|Onnum,55.0103777063612,-2.0060014009029956,-30.0,640.0,precise,20.0,0.12520822070975998,0.10520822070975998,0.9947534006975659,0.34816369024414806,0.15,label-label,0.593,0.25,0.65,0.1,0.08704092256103702,0.0975,0.0593,0.243840922561037,0.35695781350749023,0.3998508493815032,0.24319133711100657,1,low,,,
112,Hanau-Salisberg,,50.133338,8.93,67,96,0.573,11,11,118726,https://pleiades.stoa.org/places/118726,Hanau,,50.132131,8.9052,-30.0,300.0,precise,10.0,1.7727646807327893,1.7627646807327892,0.9156342961498131,0.7782891517273411,0.65,label-label,0.573,0.25,0.65,0.1,0.19457228793183529,0.42250000000000004,0.0573,0.6743722879318353,0.28852355207025115,0.6265085436646913,0.08496790426505753,1,medium,,,
113,Handbridge,,53.183986,-2.88809,70,90,0.5,0,0,989985175,https://pleiades.stoa.org/places/989985175,Roman amphitheater at Deva,,53.1892360611332,-2.8869592857087607,-30.0,300.0,precise,20.0,0.5886222358392467,0.5686222358392466,0.9719692490597435,0.3401892371709102,0.15,label-label,0.5,0.25,0.65,0.1,0.08504730929272755,0.0975,0.05,0.23254730929272754,0.3657204615757179,0.4192695253991018,0.21501001302518039,1,low,,,
114,Hardknott,,54.402454,-3.204162,100,125,0.5,0,0,89243,https://pleiades.stoa.org/places/89243,‘Medibogdo’,Hardknott Roman Fort|Mediobogdo,54.40269160665815,-3.205357296581622,-30.0,640.0,precise,20.0,0.08175275144700204,0.06175275144700204,0.9969171242783219,0.6667714032881509,0.46883333333333327,label-alt,0.5,0.25,0.65,0.1,0.16669285082203772,0.30474166666666663,0.05,0.5214345174887044,0.31968127393033335,0.5844294085752927,0.09588931749437384,1,medium,,,
115,Haselburg,,49.633402,9.330439,136,166,0.651,11,6,346876399,https://pleiades.stoa.org/places/346876399,Haselburg,,49.773390101585576,8.944634907622186,,,precise,20.0,31.81325188340224,31.79325188340224,0.20399442903350215,0.20399442903350215,1.0,label-label,0.0,0.25,0.65,0.1,0.05099860725837554,0.65,0.0,0.7009986072583756,0.07275136744969075,0.9272486325503092,0.0,1,medium,,,
116,Hayton,,53.901339,-0.753669,58,88,0.689,11,4,89290,https://pleiades.stoa.org/places/89290,Shiptonthorpe,,53.876996,-0.705018,-30.0,640.0,precise,10.0,4.182309056280048,4.1723090562800484,0.8117073153988601,0.284097560389601,0.15,label-label,0.689,0.25,0.65,0.1,0.07102439009740025,0.0975,0.0689,0.23742439009740024,0.29914529871283835,0.41065705153544635,0.2901976497517154,1,low,,,
117,Heddernheim,,50.159333,8.646584,68,96,0.316,20,25,109205,https://pleiades.stoa.org/places/109205,Nida,Heddernheim|Nida,50.154109,8.637743,-30.0,300.0,precise,4.2,0.8568149990024851,0.8526149990024852,0.9582651642071293,0.9582651642071293,0.97,label-alt,0.316,0.25,0.65,0.1,0.23956629105178232,0.6305,0.0316,0.9016662910517822,0.2656928549167911,0.6992609197628202,0.03504622532038877,1,high,,,
118,Heddesdorf,,50.436637,7.469069,65,95,0.717,7,7,109035,https://pleiades.stoa.org/places/109035,Heddesdorf,,50.434933,7.467986,-30.0,300.0,precise,100.0,0.2044131031746535,0.1044131031746535,0.9947929487772951,0.9947929487772951,1.0,label-label,0.717,0.25,0.65,0.1,0.24869823719432377,0.65,0.0717,0.9703982371943237,0.2562847165854049,0.669828092309113,0.07388719110548216,1,high,,,
