samian_id,samian_label,samian_alt_labels,samian_lat,samian_lon,samian_earliest_year,samian_latest_year,samian_q_interval,samian_unc_start_years,samian_unc_end_years,pleiades_id,pleiades_uri,pleiades_label,pleiades_alt_labels,pleiades_lat,pleiades_lon,pleiades_earliest_year,pleiades_latest_year,pleiades_location_precision,pleiades_max_accuracy_m,distance_km,distance_eff_km,geo_score,string_score,time_score,w_geo,w_str,w_time,geo_contrib,string_contrib,time_contrib,final_score,geo_rel,string_rel,time_rel,rank,confidence
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118537,https://pleiades.stoa.org/places/118537,Aalen,,48.835778000000005,10.087310500000001,-30.0,300.0,precise,10.0,0.16882917813835738,0.15882917813835737,0.9920899911696369,1.0,0.12752121212121215,0.5,0.4,0.1,0.49604499558481846,0.4,0.012752121212121215,0.9087971167969396,0.545825890527835,0.44014224143866365,0.014031868033501399,1,high
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118669,https://pleiades.stoa.org/places/118669,Essingen,,48.808738,10.027479,-30.0,640.0,precise,10.0,5.177828902724948,5.167828902724948,0.7722928626454204,0.15,0.0628089552238806,0.5,0.4,0.1,0.3861464313227102,0.06,0.00628089552238806,0.4524273268450983,0.8534993542839615,0.13261798401612188,0.013882661699916522,2,medium
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118614,https://pleiades.stoa.org/places/118614,Buch,,48.9087505,10.1395305,-30.0,300.0,precise,10.0,9.036290259139383,9.026290259139383,0.6367905318064017,0.15,0.12752121212121215,0.5,0.4,0.1,0.31839526590320083,0.06,0.012752121212121215,0.39114738711532204,0.8140033051258203,0.1533948633595504,0.0326018315146293,3,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118601,https://pleiades.stoa.org/places/118601,Böbingen,,48.815795,9.9242565,-30.0,300.0,precise,10.0,11.976603638463294,11.966603638463294,0.5497288172344638,0.15,0.12752121212121215,0.5,0.4,0.1,0.2748644086172319,0.06,0.012752121212121215,0.3476165298293531,0.790711560098032,0.17260398988924472,0.036684450012723226,4,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118800,https://pleiades.stoa.org/places/118800,Lauchheim,,48.871836,10.246307,-30.0,300.0,precise,10.0,12.46230324326882,12.45230324326882,0.5365394635736201,0.15,0.12752121212121215,0.5,0.4,0.1,0.2682697317868101,0.06,0.012752121212121215,0.3410218529989313,0.7866643425565187,0.17594180394119208,0.037393853502289125,5,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118569,https://pleiades.stoa.org/places/118569,Aquileia,Aquileia|Aqvileia,48.678383,10.151322,-30.0,640.0,precise,10.0,18.16943099112694,18.15943099112694,0.4033415531500132,0.15,0.0628089552238806,0.5,0.4,0.1,0.2016707765750066,0.06,0.00628089552238806,0.2679516720973947,0.7526386194809921,0.22392097623556267,0.023440404283445147,6,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118895,https://pleiades.stoa.org/places/118895,Opia,Opia|Opie,48.86711,10.342766,-30.0,300.0,precise,10.0,19.177913161678187,19.167913161678186,0.38350767011156783,0.15,0.12752121212121215,0.5,0.4,0.1,0.19175383505578392,0.06,0.012752121212121215,0.26450595626790513,0.724950915137676,0.22683799203080682,0.04821109283151724,7,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118763,https://pleiades.stoa.org/places/118763,Ipf,Ipf,48.87040745,10.356911499999999,-550.0,-330.0,precise,10.0,20.262338692492676,20.252338692492675,0.36326708837468985,0.15,0.0,0.5,0.4,0.1,0.18163354418734493,0.06,0.0,0.24163354418734492,0.7516901049405608,0.24830989505943926,0.0,8,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118725,https://pleiades.stoa.org/places/118725,Halheim,,48.982958249999996,10.28550675,-30.0,300.0,precise,20.0,21.963082304162292,21.943082304162292,0.33381974570394946,0.15,0.12752121212121215,0.5,0.4,0.1,0.16690987285197473,0.06,0.012752121212121215,0.23966199406409594,0.6964386385241201,0.2503525860840222,0.0532087753918577,9,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,118952,https://pleiades.stoa.org/places/118952,Schirenhof Roman Fort,,48.786714700000005,9.777184725,-30.0,300.0,precise,20.0,23.19271076912688,23.17271076912688,0.313914212670937,0.15,0.12752121212121215,0.5,0.4,0.1,0.1569571063354685,0.06,0.012752121212121215,0.2297092275475897,0.6832860308276084,0.26119978130860927,0.055514187863782316,10,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,346876400,https://pleiades.stoa.org/places/346876400,Freimühle,,48.7915028,9.7636462,-30.0,640.0,precise,20.0,24.04147877758941,24.02147877758941,0.30087092136597365,0.15,0.0628089552238806,0.5,0.4,0.1,0.15043546068298683,0.06,0.00628089552238806,0.21671635620537488,0.6941583151223905,0.27685958296170315,0.028982101915906448,11,low
1,Aalen,,48.835827,10.085005,143,192,0.397,15,42,458048480,https://pleiades.stoa.org/places/458048480,Kastellbad Schirenhof,,48.78584398278197,9.77532102273656,,,precise,20.0,23.348416650719845,23.328416650719845,0.3114797868659457,0.15,0.0,0.5,0.4,0.1,0.15573989343297284,0.06,0.0,0.21573989343297284,0.7218873197476521,0.278112680252348,0.0,12,low
