"id","label","altlabels","lon","lat","earliest_year","latest_year","q_start","q_end","q_interval","unc_start_years","unc_end_years","unc_interval_years"
68,"Castleford",,"-1.35","53.71667",94,123,"0.673","0.731","0.152",37,38,54
69,"Castleshaw",,"-2.003055","53.583332",80,110,"0.500","0.500","0.500",0,0,0
70,"Catterick",,"-1.63328","54.37542",115,148,"0.672","0.711","0.126",46,51,68
71,"Catterick North",,"-1.661204","54.385871",70,100,"0.500","0.500","0.500",0,0,0
72,"Charterhouse-on-Mendip",,"-2.716521","51.298175",65,90,"0.500","0.500","0.500",0,0,0
73,"Chelmsford",,"0.483333","51.733329",60,85,"0.500","0.500","0.500",0,0,0
74,"Chester","Deva","-2.893943","53.191469",65,92,"0.799","0.845","0.455",15,15,21
75,"Chester-le-Street","Cocangis","-1.566666","54.849998",154,194,"0.966","0.950","0.751",5,10,11
76,"Chesterfield",,"-1.416666","53.25",65,90,"0.500","0.500","0.500",0,0,0
77,"Chesterholm-Vindolanda",,"-2.359504","54.991588",116,148,"0.681","0.720","0.130",44,49,66
78,"Chesters",,"-2.15","55.016666",152,188,"0.879","0.888","0.436",19,22,30
79,"Cirencester","Korinion/Cironium","-1.983332","51.733329",54,82,"0.549","0.651","0.179",33,35,48
80,"Colchester",,"0.899999","51.883338",52,81,"0.597","0.706","0.258",27,28,39
81,"Corbridge","Coriosopitum/Coria","-2.01798","54.97365",118,153,"0.714","0.742","0.171",40,46,61
82,"Cramond",,"-3.299999","55.966667",138,171,"0.843","0.857","0.351",24,26,35
83,"Dol-y-Gaer",,"0","0",70,100,"0.500","0.500","0.500",0,0,0
84,"Doncaster",,"-1.116666","53.533332",69,101,"0.840","0.872","0.559",12,14,18
85,"Donnstetten",,"9.566666","48.51667",100,128,"0.602","0.718","0.097",51,43,66
86,"Dormagen",,"6.833333","51.099998",68,88,"0.949","0.960","0.779",4,4,5
87,"Duntocher",,"-4.416666","55.933334",143,180,"0.928","1.000","0.754",11,0,11
88,"Ebchester",,"-1.833333","54.883335",95,122,"0.553","0.572","0.037",56,68,88
89,"Echzell",,"8.883176","50.393087",83,113,"0.702","0.742","0.224",30,34,45
90,"Eining",,"11.76667","48.849998",84,113,"0.644","0.730","0.170",37,36,51
91,"Elginhaugh",,"-3.080559","55.893131",64,91,"0.926","0.934","0.738",5,6,8
92,"Elslack",,"-2.116666","53.933334",160,200,"0.500","0.500","0.500",0,0,0
93,"Eschenz",,"8.866666","47.650001",155,195,"0.939","0.905","0.576",10,19,22
94,"Faimingen",,"10.399999","48.566669",72,100,"0.911","0.905","0.650",7,10,12
95,"Falkirk",,"-3.75","56",110,145,"0.500","0.500","0.500",0,0,0
96,"Feldberg",,"8.444662","50.227149",80,105,"0.500","0.500","0.500",0,0,0
97,"Fishbourne",,"-0.810943","50.839269",48,77,"0.771","0.905","0.595",13,8,15
98,"Fishbourne",,"-0.810943","50.839269",45,75,"0.766","0.882","0.601",12,9,15
99,"Friedberg",,"8.753502","50.341669",64,91,"0.789","0.838","0.438",15,16,22
100,"Gauting",,"11.366669","48.066669",140,180,"0.925","0.938","0.673",11,11,16
